Rank,Name,Country,1 Artboard,2 Artboard,3 Artboard,4 Artboard,5 Artboard,6 Artboard,7 Artboard,8 Artboard,9 Artboard,10 Artboard,11 Artboard,Total Points
1,Yago Dora,Brazil,265,4745,10000,4745,3320,4745,1330,10000,4745,7800,3320,54750
2,Griffin Colapinto,United States,1330,3320,1330,1330,6085,1330,7800,6085,7800,6085,7800,48965
3,Jordy Smith,South Africa,1330,3320,3320,10000,4745,4745,10000,3320,4745,3320,3320,50835
4,Italo Ferreira,Brazil,6085,10000,7800,4745,1330,1330,1330,3320,4745,3320,4745,47420
5,Jack Robinson,Australia,1330,6085,4745,1330,10000,265,1330,6085,3320,3320,10000,47545
6,Ethan Ewing,Australia,3320,6085,6085,4745,4745,1330,1330,4745,6085,4745,4745,46630
7,Kanoa Igarashi,Japan,3320,4745,3320,1330,7800,6085,3320,7800,3320,4745,1330,45785
8,Filipe Toledo,Brazil,3320,3320,4745,1330,3320,10000,1330,3320,3320,6085,1330,40090
9,Leonardo Fioravanti,Italy,7800,1330,3320,3320,3320,1330,4745,3320,3320,4745,3320,38540
10,Cole Houshmand,United States,1330,1330,3320,6085,1330,1330,1330,4745,10000,3320,4745,37535
11,Barron Mamiya,Hawaii,10000,1330,6085,1330,1330,3320,6085,"3,320*",1330,3320,1330,37450
12,Connor O'Leary,Japan,1330,3320,1330,3320,3320,1330,4745,4745,1330,10000,1330,34770
13,Miguel Pupo,Brazil,4745,4745,1330,4745,1330,4745,3320,1330,6085,1330,1330,33705
14,Jake Marshall,United States,4745,1330,1330,1330,4745,3320,3320,3320,4745,3320,3320,33495
15,Crosby Colapinto,United States,265,265,1330,6085,1330,1330,6085,3320,3320,3320,6085,32470
16,Marco Mignot,France,1330,265,4745,3320,1330,3320,3320,1330,1330,4745,3320,28090
17,Joao Chianca,Brazil,3320,1330,265,3320,1330,3320,3320,3320,1330,3320,3320,27230
18,Joel Vaughan,Australia,3320,3320,3320,1330,3320,265,1330,4745,3320,1330,1330,26665
19,Alan Cleland,Mexico,3320,265,1330,3320,1330,3320,3320,1330,3320,1330,3320,25240
20,Rio Waida,Indonesia,1330,7800,4745,1330,1330,1330,1330,1330,1330,1330,3320,25175
21,Seth Moniz,Hawaii,3320,265,3320,1330,3320,3320,265,1330,3320,1330,1330,22185
22,Alejo Muniz,Brazil,1330,1330,1330,3320,1330,6085,265,1330,1330,1330,265,18980
23,Matthew McGillivray,South Africa,1330,1330,1330,7800,1330,265,1330,-,-,-,-,14450
24,Liam O'Brien,Australia,1330,3320,3320,265,1330,3320,1330,-,-,-,-,13950
25,Jackson Bunch,Hawaii,1330,4745,1330,1330,1330,1330,3320,-,-,-,-,13385
26,George Pittar,Australia,4745,1330,265,3320,1330,1330,1330,-,-,-,-,13385
27,Ian Gouveia,Brazil,6085,1330,265,1330,265,1330,1330,-,-,-,-,11670
28,Samuel Pupo,Brazil,265,1330,1330,1330,4745,1330,1330,-,-,-,-,11395
29,Imaikalani deVault,Hawaii,265,265,3320,265,1330,1330,4745,-,-,-,-,11255
30,Deivid Silva,Brazil,1330,3320,1330,1330,265,3320,265,-,-,-,-,10895
31,Ian Gentil,Hawaii,"1,330*","1,330*","1,330*",265*,"3,320*","1,330*","1,330*",-,-,-,-,9970
32,Ramzi Boukhiam,Morocco,1330,1330,1330,3320,265*,265,265,-,-,-,-,7840
33,Edgard Groggia,Brazil,1330,1330,1330,265,265,1330,1330,-,-,-,-,6915
34,Ryan Callinan,Australia,1330,1330,265,1330,1330,265,265,-,-,-,-,5850
35,Gabriel Medina,Brazil,265,265,265,265,265,265,265,-,-,-,-,1590
